Document_Id,Profile_Name,Title,Co_Authors,Title_Link,No_Of_Citations
571,Richard Aspinall,A Simple Model System Enabling Human CD34+ Cells to Undertake Differentiation Towards T Cells,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/a-simple-model-system-enabling-human-cd34supsup-cells-to-undertak,"
5
"
572,Richard Aspinall,Dose response kinetics of CD8 lymphocytes from young animals transfused into old animals and challenged with influenza,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/dose-response-kinetics-of-cd8-lymphocytes-from-young-animals-tran,"
5
"
573,Richard Aspinall,How important is vitamin D in preventing infections?,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/how-important-is-vitamin-d-in-preventing-infections,"
42
"
574,Richard Aspinall,Immune Senescence and Vaccination in the Elderly,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/immune-senescence-and-vaccination-in-the-elderly,"
33
"
575,Richard Aspinall,Measuring the TREC ratio in dried blood spot samples: Intra- and inter-filter paper cards reproducibility,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/measuring-the-trec-ratio-in-dried-blood-spot-samples-intra-and-in,"
6
"
576,Richard Aspinall,"Reversing T cell immunosenescence: Why, who, and how","Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/reversing-t-cell-immunosenescence-why-who-and-how,"
52
"
577,Richard Aspinall,Saurons-nous jamais ce qui provoque le vieillissement?,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/will-we-ever-know-what-causes-aging,"
2
"
578,Richard Aspinall,The avalanche is coming... and just now it's starting to snow,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/the-avalanche-is-coming-and-just-now-its-starting-to-snow,"
6
"
579,Richard Aspinall,Comparison of manual and automated DNA purification for measuring TREC in dried blood spot (DBS) samples with qPCR,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/comparison-of-manual-and-automated-dna-purification-for-measuring,"
11
"
580,Richard Aspinall,Effectiveness of influenza vaccine in aging and older adults: Comprehensive analysis of the evidence,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/effectiveness-of-influenza-vaccine-in-aging-and-older-adults-comp,"
73
"
581,Richard Aspinall,Efficacité des vaccins antigrippes chez la personne âgée,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/effectiveness-of-influenza-vaccines-in-the-elderly,"
2
"
582,Richard Aspinall,Immunosenescence and herd immunity: With an ever-increasing aging population do we need to rethink vaccine schedules?,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/immunosenescence-and-herd-immunity-with-an-ever-increasing-aging-,"
38
"
583,Richard Aspinall,"Immunosenescence and the 3Rs: Restoration, replacement and reprogramming immunosenescence and its correction","Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/immunosenescence-and-the-3rs-restoration-replacement-and-reprogra,"
11
"
584,Richard Aspinall,"Immunotherapy of immunosenesence; who, how and when?","Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/immunotherapy-of-immunosenesence-who-how-and-when,"
9
"
585,Richard Aspinall,L'immunosénescence,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/immunosenescence,"
50
"
586,Richard Aspinall,Immunosenescence: Implications for vaccination programmes in adults,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/immunosenescence-implications-for-vaccination-programmes-in-adult,"
19
"
587,Richard Aspinall,Interleukin 7 from maternal milk crosses the intestinal barrier and modulates T-cell development in offspring,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/interleukin-7-from-maternal-milk-crosses-the-intestinal-barrier-a,"
19
"
588,Richard Aspinall,Real time-PCR assay estimating the naive T-cell pool in whole blood and dried blood spot samples: Pilot study in young adults,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/real-time-pcr-assay-estimating-the-naive-t-cell-pool-in-whole-blo,"
16
"
589,Richard Aspinall,Thymic function and T cell parameters in a natural human experimental model of seasonal infectious diseases and nutritional burden,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/thymic-function-and-t-cell-parameters-in-a-natural-human-experime,"
49
"
590,Richard Aspinall,Vaccine effectiveness in older individuals: What has been learned from the influenza-vaccine experience,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/vaccine-effectiveness-in-older-individuals-what-has-been-learned-,"
8
"
591,Richard Aspinall,Immune senescence,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/immune-senescence,"
36
"
592,Richard Aspinall,Immunity in the Elderly: The Role of the Thymus,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/immunity-in-the-elderly-the-role-of-the-thymus,"
61
"
593,Richard Aspinall,Immunological pathogenesis of main age-related diseases and frailty: Role of immunosenescence,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/immunological-pathogenesis-of-main-age-related-diseases-and-frail,"
32
"
594,Richard Aspinall,Influenza vaccine effectiveness in aged individuals: The role played by cell-mediated immunity,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/influenza-vaccine-effectiveness-in-aged-individuals-the-role-play,"
67
"
595,Richard Aspinall,Tracing thymic output in older individuals,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/tracing-thymic-output-in-older-individuals,"
363
"
596,Richard Aspinall,B-cell responses to vaccination at the extremes of age,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/b-cell-responses-to-vaccination-at-the-extremes-of-age,"
100
"
597,Richard Aspinall,Influenza control in the 21st century: Optimizing protection of older adults,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/influenza-control-in-the-21st-century-optimizing-protection-of-ol,"
1
"
598,Richard Aspinall,Interleukin-7 and immunorejuvenation,"Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/interleukin-7-and-immunorejuvenation,"
38
"
599,Richard Aspinall,"Reversal of age-associated thymic atrophy: Treatments, delivery, and side effects","Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/reversal-of-age-associated-thymic-atrophy-treatments-delivery-and,"
6
"
600,Richard Aspinall,"Zinc, metallothioneins, longevity: Effect of zinc supplementation on antioxidant response: A zincage study","Aspinall, R.",https://pureportal.coventry.ac.uk/en/publications/zinc-metallothioneins-longevity-effect-of-zinc-supplementation-on,"
143
"
601,Taufiq Asyhari,IoT-Enabled Light Intensity-Controlled Seamless Highway Lighting System,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/iot-enabled-light-intensity-controlled-seamless-highway-lighting-,"
4
"
602,Taufiq Asyhari,Solving Coupling Security Problem for Sustainable Sensor-Cloud Systems based on Fog Computing,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/solving-coupling-security-problem-for-sustainable-sensor-cloud-sy,"
3
"
603,Taufiq Asyhari,Energy Optimization on Joint Task Computation Using Genetic Algorithm,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/energy-optimization-on-joint-task-computation-using-genetic-algor,"
15
"
604,Taufiq Asyhari,A cyber-enabled mission-critical system for post-flood response: Exploiting TV white space as network backhaul links,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/a-cyber-enabled-mission-critical-system-for-post-flood-response-e,"
7
"
605,Taufiq Asyhari,Immune Genetic Algorithm Optimization and Integration of Logistics Network Terminal Resources,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/immune-genetic-algorithm-optimization-and-integration-of-logistic,"
7
"
606,Taufiq Asyhari,On the Impact of Transposition Errors in Diffusion-Based Channels,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/on-the-impact-of-transposition-errors-in-diffusion-based-channels,"
15
"
607,Taufiq Asyhari,A 3D-Collaborative Wireless Network: Towards Resilient Communication for Rescuing Flood Victims,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/a-3d-collaborative-wireless-network-towards-resilient-communicati,"
14
"
608,Taufiq Asyhari,Collab-SAR: A Collaborative Avalanche Search-and-Rescue Missions Exploiting Hostile Alpine Networks,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/collab-sar-a-collaborative-avalanche-search-and-rescue-missions-e,"
12
"
609,Taufiq Asyhari,L-CAQ: Joint link-oriented channel-availability and channel-quality based channel selection for mobile cognitive radio networks,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/l-caq-joint-link-oriented-channel-availability-and-channel-qualit,"
3
"
610,Taufiq Asyhari,Performance evaluation of history-based and priority-based MAC for traffic-differentiated intra-vehicular network,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/performance-evaluation-of-history-based-and-priority-based-mac-fo,"
10
"
611,Taufiq Asyhari,An Assessment on the Hidden Ecological Factors of the Incidence of Malaria,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/an-assessment-on-the-hidden-ecological-factors-of-the-incidence-o,"
2
"
612,Taufiq Asyhari,Crowd associated network: Exploiting over a smart garbage management system,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/crowd-associated-network-exploiting-over-a-smart-garbage-manageme,"
6
"
613,Taufiq Asyhari,Data Analytics of climatic factor influence on the impact of malaria incidence,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/data-analytics-of-climatic-factor-influence-on-the-impact-of-mala,"
19
"
614,Taufiq Asyhari,Molecular Channel Fading Due to Diffusivity Fluctuations,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/molecular-channel-fading-due-to-diffusivity-fluctuations,"
15
"
615,Taufiq Asyhari,Orthogonal or Superimposed Pilots? A Rate-Efficient Channel Estimation Strategy for Stationary MIMO Fading Channels,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/orthogonal-or-superimposed-pilots-a-rate-efficient-channel-estima,"
36
"
616,Taufiq Asyhari,Towards a predictive analytics-based intelligent malaria outbreak warning system,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/towards-a-predictive-analytics-based-intelligent-malaria-outbreak,"
25
"
617,Taufiq Asyhari,Transposition Errors in Diffusion-Based Mobile Molecular Communication,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/transposition-errors-in-diffusion-based-mobile-molecular-communic,"
67
"
618,Taufiq Asyhari,Mobile molecular communications: Positional-distance codes,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/mobile-molecular-communications-positional-distance-codes,"
2
"
619,Taufiq Asyhari,Molecular communications: Channel model and physical layer techniques,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/molecular-communications-channel-model-and-physical-layer-techniq,"
10
"
620,Taufiq Asyhari,Channel estimation for stationary fading channels: Orthogonal versus superimposed pilots,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/channel-estimation-for-stationary-fading-channels-orthogonal-vers,"
1
"
621,Taufiq Asyhari,MIMO block-fading channels with mismatched CSI,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/mimo-block-fading-channels-with-mismatched-csi,"
7
"
622,Taufiq Asyhari,Nearest Neighbor Decoding and Pilot-Aided Channel Estimation for Fading Channels,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/nearest-neighbor-decoding-and-pilot-aided-channel-estimation-for-,"
2
"
623,Taufiq Asyhari,GMI and mismatched-CSI outage exponents in MIMO block-fading channels,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/gmi-and-mismatched-csi-outage-exponents-in-mimo-block-fading-chan,"
10
"
624,Taufiq Asyhari,Nearest neighbor decoding in MIMO block-fading channels with imperfect CSIR,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/nearest-neighbor-decoding-in-mimo-block-fading-channels-with-impe,"
3
"
625,Taufiq Asyhari,Mismatched CSI outage exponents of block-fading channels,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/mismatched-csi-outage-exponents-of-block-fading-channels,"
1
"
626,Taufiq Asyhari,Nearest neighbour decoding and pilot-aided channel estimation in stationary Gaussian flat-fading channels,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/nearest-neighbour-decoding-and-pilot-aided-channel-estimation-in-,"
1
"
627,Taufiq Asyhari,Nearest neighbour decoding with pilot-assisted channel estimation for fading multiple-access channels,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/nearest-neighbour-decoding-with-pilot-assisted-channel-estimation,"
6
"
628,Taufiq Asyhari,Coding for the MIMO ARQ block-fading channel with imperfect feedback and CSIR,"Asyhari, A. T.",https://pureportal.coventry.ac.uk/en/publications/coding-for-the-mimo-arq-block-fading-channel-with-imperfect-feedb,"
1
"
629,Kristin Aune,COVID-19 and the Chinese Christian Community in Britain: Changing Patterns of Belonging and Division,"Aune, K.",https://pureportal.coventry.ac.uk/en/publications/covid-19-and-the-chinese-christian-community-in-britain-changing-,"
2
"
630,Kristin Aune,Gender and domestic abuse victimisation among churchgoers in north west England: breaking the church’s gendered silence,"Aune, K.",https://pureportal.coventry.ac.uk/en/publications/gender-and-domestic-abuse-victimisation-among-churchgoers-in-nort,"
4
"
631,Kristin Aune,"Modest Fashion in UK Women's Working Life: A report for employers, HR professionals, religious organisations, and policymakers","Aune, K.",https://pureportal.coventry.ac.uk/en/publications/modest-fashion-in-uk-womens-working-life-a-report-for-employers-h,"
6
"
632,Kristin Aune,Modest Fashion in UK Women's Working Life: A report for fashion and the creative industries and creative arts education,"Aune, K.",https://pureportal.coventry.ac.uk/en/publications/modest-fashion-in-uk-womens-working-life-a-report-for-fashion-and,"
1
"
633,Kristin Aune,Religion and Belief-Related Hate Incidents in Higher Education: A Research and Evaluation Report,"Aune, K.",https://pureportal.coventry.ac.uk/en/publications/religion-and-belief-related-hate-incidents-in-higher-education-a-,"
3
"
634,Kristin Aune,Chaplains on Campus: Understanding Chaplaincy in UK Universities,"Aune, K.",https://pureportal.coventry.ac.uk/en/publications/chaplains-on-campus-understanding-chaplaincy-in-uk-universities,"
36
"
635,Kristin Aune,Christian university students' attitudes to gender: Constructing Everyday Theologies in a Post-Feminist Climate,"Aune, K.",https://pureportal.coventry.ac.uk/en/publications/christian-university-students-attitudes-to-gender-constructing-ev,"
42
"
636,Kristin Aune,Faith and Belief on Campus: Division and Cohesion: Exploring Student Faith and Belief Societies,"Aune, K.",https://pureportal.coventry.ac.uk/en/publications/faith-and-belief-on-campus-division-and-cohesion-exploring-studen,"
4
"
637,Kristin Aune,In Churches Too: Church responses to domestic abuse - a case study of Cumbria,"Aune, K.",https://pureportal.coventry.ac.uk/en/publications/in-churches-too-church-responses-to-domestic-abuse-a-case-study-o,"
19
"
638,Kristin Aune,Navigating the Third Wave: Contemporary UK feminist activists and ‘third-wave feminism’,"Aune, K.",https://pureportal.coventry.ac.uk/en/publications/navigating-the-third-wave-contemporary-uk-feminist-activists-and-,"
8
"
639,Kristin Aune,Introduction: Is secularism bad for women? La laïcité nuit-elle aux femmes?,"Aune, K.",https://pureportal.coventry.ac.uk/en/publications/introduction-is-secularism-bad-for-women-la-la%C3%AFcit%C3%A9-nuit-elle-aux,"
6
"
640,Kristin Aune,Religion and Higher Education in Europe and North America:  Historical and contemporary contexts,"Aune, K.",https://pureportal.coventry.ac.uk/en/publications/religion-and-higher-education-in-europe-and-north-america-histori,"
19
"
641,Kristin Aune,Religion and Higher Education in Europe and North America,"Aune, K.",https://pureportal.coventry.ac.uk/en/publications/religion-and-higher-education-in-europe-and-north-america,"
21
"
642,Kristin Aune,"Students' Constructions of a Christian Future: Faith, Class and Aspiration in University Contexts","Aune, K.",https://pureportal.coventry.ac.uk/en/publications/students-constructions-of-a-christian-future-faith-class-and-aspi,"
13
"
643,Kristin Aune,The Contested Campus: Christian Students in UK Universities,"Aune, K.",https://pureportal.coventry.ac.uk/en/publications/the-contested-campus-christian-students-in-uk-universities,"
17
"
644,Stephen Austin,Simulations in Construction Management Training,"Austin, S.",https://pureportal.coventry.ac.uk/en/publications/simulations-in-construction-management-training,"
13
"
645,Stephen Austin,A new approach to improve mechanical properties and durability of low-density oil well cement composite reinforced by cellulose fibres in microstructural scale,"Austin, S.",https://pureportal.coventry.ac.uk/en/publications/a-new-approach-to-improve-mechanical-properties-and-durability-of,"
52
"
646,Stephen Austin,Real-Time Simulation Training with Construction Students: a Case Study of an Overseas Partnership,"Austin, S.",https://pureportal.coventry.ac.uk/en/publications/real-time-simulation-training-with-construction-students-a-case-s,"
5
"
647,Stephen Austin,Simulation Training: Allowing Students to Fail Safely,"Austin, S.",https://pureportal.coventry.ac.uk/en/publications/simulation-training-allowing-students-to-fail-safely,"
3
"
648,Kenny Awuson - David,BCFL logging: An approach to acquire and preserve admissible digital forensics evidence in cloud ecosystem,"Awuson - David, K.",https://pureportal.coventry.ac.uk/en/publications/bcfl-logging-an-approach-to-acquire-and-preserve-admissible-digit,"
1
"
649,Rami Ayoubi,A model for enterprise resource planning systems in the higher education sector,"Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/a-model-for-enterprise-resource-planning-systems-in-the-higher-ed,"
1
"
650,Rami Ayoubi,"A revisit to the role of gender, age, subjective and objective knowledge in consumers’ attitudes towards organic food","Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/a-revisit-to-the-role-of-gender-age-subjective-and-objective-know,"
1
"
651,Rami Ayoubi,Contexts of organizational learning in developing countries: the role of training programmes in Egyptian public banks,"Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/contexts-of-organizational-learning-in-developing-countries-the-r,"
3
"
652,Rami Ayoubi,Responsible management education in time of crisis: a conceptual framework for public business schools in Egypt and similar Middle-Eastern Context,"Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/responsible-management-education-in-time-of-crisis-a-conceptual-f,"
4
"
653,Rami Ayoubi,Student university choice in Kurdistan-Iraq: what factors matter?,"Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/student-university-choice-in-kurdistan-iraq-what-factors-matter,"
6
"
654,Rami Ayoubi,Why Him Not ME? Inclusive/Exclusive Talent Identification in Academic Public Context,"Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/why-him-not-me-inclusiveexclusive-talent-identification-in-academ,"
1
"
655,Rami Ayoubi,"Workplace fun, organizational inclusion and meaningful work: an empirical study","Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/workplace-fun-organizational-inclusion-and-meaningful-work-an-emp,"
6
"
656,Rami Ayoubi,A framework for customer relationship management strategy orientation support in higher education institutions,"Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/a-framework-for-customer-relationship-management-strategy-orienta,"
5
"
657,Rami Ayoubi,Barriers of organizational inclusion: A study among academics in Egyptian public business schools,"Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/barriers-of-organizational-inclusion-a-study-among-academics-in-e,"
5
"
658,Rami Ayoubi,Effects of rectors’ narcissism on academics’ silence and commitment in the context of public universities,"Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/effects-of-rectors-narcissism-on-academics-silence-and-commitment,"
17
"
659,Rami Ayoubi,"Gender, diversity management perceptions, workplace happiness and organisational citizenship behaviour","Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/gender-diversity-management-perceptions-workplace-happiness-and-o,"
4
"
660,Rami Ayoubi,"Gender, workplace fun and organisational inclusion: an empirical study","Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/gender-workplace-fun-and-organisational-inclusion-an-empirical-st,"
7
"
661,Rami Ayoubi,Scoping and Aligning CRM Strategy in Higher Education Institutions: Practical Steps,"Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/scoping-and-aligning-crm-strategy-in-higher-education-institution,"
5
"
662,Rami Ayoubi,Should responsible management education become a priority? A qualitative study of academics in Egyptian public business schools,"Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/should-responsible-management-education-become-a-priority-a-quali,"
4
"
663,Rami Ayoubi,A system dynamic model of student enrolment at the private higher education sector in Syria,"Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/a-system-dynamic-model-of-student-enrolment-at-the-private-higher,"
12
"
664,Rami Ayoubi,Do flexible admission systems affect student enrollment? Evidence from UK universities,"Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/do-flexible-admission-systems-affect-student-enrollment-evidence-,"
16
"
665,Rami Ayoubi,"Inclusive/exclusive talent management, responsible leadership and organizational downsizing: A study of academics in Egyptian public business schools","Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/inclusiveexclusive-talent-management-responsible-leadership-and-o,"
6
"
666,Rami Ayoubi,Multi Academy Trusts in England: A scenario of cooperation with universities,"Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/multi-academy-trusts-in-england-a-scenario-of-cooperation-with-un,"
10
"
667,Rami Ayoubi,"Organizational learning, authentic leadership and individual-level resistance to change: A study of Egyptian academics","Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/organizational-learning-authentic-leadership-and-individual-level,"
9
"
668,Rami Ayoubi,Responsible management education in Egyptian public business schools: Are academics ready?,"Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/responsible-management-education-in-egyptian-public-business-scho,"
1
"
669,Rami Ayoubi,Talent management practices: perceptions of academics in Egyptian public business schools,"Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/talent-management-practices-perceptions-of-academics-in-egyptian-,"
2
"
670,Rami Ayoubi,"Transformational leadership, organizational justice and organizational outcomes: A study from the higher education sector in Syria","Ayoubi, R.",https://pureportal.coventry.ac.uk/en/publications/transformational-leadership-organizational-justice-and-organizati,"
4
"
671,Hoor Ayub,The immune receptor FcR chain mediates CD36-oxidized low-density lipoprotein-induced platelet activation and thrombosis,"Ayub, H.",https://pureportal.coventry.ac.uk/en/publications/the-immune-receptor-fcr-chain-mediates-cd36-oxidized-low-density-,"
1
"
672,Evronia Azer,Remote working has led to managers spying more on staff – here are three ways to curb it,"Azer, E.",https://pureportal.coventry.ac.uk/en/publications/remote-working-has-led-to-managers-spying-more-on-staff-here-are-,"
3
"
673,Meghdad Bagheri,Geological and Geotechnical Characteristics of London Clay from the Isle of Sheppey,"Bagheri, M.",https://pureportal.coventry.ac.uk/en/publications/geological-and-geotechnical-characteristics-of-london-clay-from-t,"
3
"
674,Meghdad Bagheri,The combined effect of clay and moisture content on very small strain stiffness of compacted sand-clay mixture,"Bagheri, M.",https://pureportal.coventry.ac.uk/en/publications/the-combined-effect-of-clay-and-moisture-content-on-very-small-st,"
3
"
675,Meghdad Bagheri,Creep and consolidation of a stiff clay under saturated and unsaturated conditions,"Bagheri, M.",https://pureportal.coventry.ac.uk/en/publications/creep-and-consolidation-of-a-stiff-clay-under-saturated-and-unsat,"
5
"
676,Meghdad Bagheri,A CRS oedometer cell for unsaturated and non-isothermal tests,"Bagheri, M.",https://pureportal.coventry.ac.uk/en/publications/a-crs-oedometer-cell-for-unsaturated-and-non-isothermal-tests,"
17
"
677,Meghdad Bagheri,Rate-dependency and Stress-Relaxation of Unsaturated Clays,"Bagheri, M.",https://pureportal.coventry.ac.uk/en/publications/rate-dependency-and-stress-relaxation-of-unsaturated-clays,"
1
"
678,Witold Bahr,Gamification of warehousing: exploring perspectives of warehouse managers in the UK,"Bahr, W.",https://pureportal.coventry.ac.uk/en/publications/gamification-of-warehousing-exploring-perspectives-of-warehouse-m,"
6
"
679,Witold Bahr,Environmental Sustainability in the Follow-Up and Evaluation Stage of Logistics Services Purchasing: Perspectives from UK Shippers and 3PLs,"Bahr, W.",https://pureportal.coventry.ac.uk/en/publications/environmental-sustainability-in-the-follow-up-and-evaluation-stag,"
109
"
680,Mingwen Bai,Correlation between the formation of tribofilm and repassivation in biomedical titanium alloys during tribocorrosion,"Bai, M.",https://pureportal.coventry.ac.uk/en/publications/correlation-between-the-formation-of-tribofilm-and-repassivation-,"
2
"
681,Mingwen Bai,"Effect of ZrB2 Powders on Densification, Microstructure, Mechanical Properties and Thermal Conductivity of ZrB2-SiC Ceramics","Bai, M.",https://pureportal.coventry.ac.uk/en/publications/effect-of-zrb2-powders-on-densification-microstructure-mechanical,"
1
"
682,Mingwen Bai,Evolution of Porosity in Suspension Thermal Sprayed YSZ Thermal Barrier Coatings through Neutron Scattering and Image Analysis Techniques,"Bai, M.",https://pureportal.coventry.ac.uk/en/publications/evolution-of-porosity-in-suspension-thermal-sprayed-ysz-thermal-b,"
1
"
683,Mingwen Bai,Experimental investigations on the chlorine-induced corrosion of HVOF thermal sprayed Stellite-6 and NiAl coatings with fluidised bed biomass/anthracite combustion systems,"Bai, M.",https://pureportal.coventry.ac.uk/en/publications/experimental-investigations-on-the-chlorine-induced-corrosion-of-,"
4
"
684,Mingwen Bai,"Influence of TiB2 and CrB2 on densification, microstructure, and mechanical properties of ZrB2 ceramics","Bai, M.",https://pureportal.coventry.ac.uk/en/publications/influence-of-tib2-and-crb2-on-densification-microstructure-and-me,"
4
"
685,Mingwen Bai,Investigations on the Diffusion of Platinum between CMSX-4 Superalloy and Platinum-Enriched Bond Coat,"Bai, M.",https://pureportal.coventry.ac.uk/en/publications/investigations-on-the-diffusion-of-platinum-between-cmsx-4-supera,"
9
"
686,Mingwen Bai,Mitigation of Platinum Depletion in Platinum Diffused Single Phase Bond Coat on CMSX-4 Superalloy,"Bai, M.",https://pureportal.coventry.ac.uk/en/publications/mitigation-of-platinum-depletion-in-platinum-diffused-single-phas,"
12
"
687,Mingwen Bai,A study on the effect of nano-CeO2 dispersion on the characteristics of thermally-grown oxide (TGO) formed on NiCoCrAlY powders and coatings during isothermal oxidation,"Bai, M.",https://pureportal.coventry.ac.uk/en/publications/a-study-on-the-effect-of-nano-ceo2-dispersion-on-the-characterist,"
3
"
688,Mingwen Bai,Correction to: Preparation of MCrAlY–Al2O3 Composite Coatings with Enhanced Oxidation Resistance Through a Novel Powder Manufacturing Process,"Bai, M.",https://pureportal.coventry.ac.uk/en/publications/correction-to-preparation-of-mcralyal2o3-composite-coatings-with-,"
2
"
689,Mingwen Bai,Residual Stress Measurement of Suspension HVOF-Sprayed Alumina Coating via a Hole-Drilling Method,"Bai, M.",https://pureportal.coventry.ac.uk/en/publications/residual-stress-measurement-of-suspension-hvof-sprayed-alumina-co,"
15
"
690,Mingwen Bai,The al-enriched γ’-Ni3Al-base bond coat for thermal barrier coating applications,"Bai, M.",https://pureportal.coventry.ac.uk/en/publications/the-al-enriched-%CE%B3-ni3al-base-bond-coat-for-thermal-barrier-coatin,"
24
"
691,Mingwen Bai,"In-situ Ti-6Al-4V/TiC composites synthesized by reactive spark plasma sintering: processing, microstructure, and dry sliding wear behaviour","Bai, M.",https://pureportal.coventry.ac.uk/en/publications/in-situ-ti-6al-4vtic-composites-synthesized-by-reactive-spark-pla,"
12
"
692,Mingwen Bai,Preparation of MCrAlY–Al2O3 Composite Coatings with Enhanced Oxidation Resistance through a Novel Powder Manufacturing Process,"Bai, M.",https://pureportal.coventry.ac.uk/en/publications/preparation-of-mcralyal2o3-composite-coatings-with-enhanced-oxida,"
22
"
693,Mingwen Bai,Small punch creep testing of thermally sprayed Stellite 6 coating: A comparative study of as-received vs post-heat treatment,"Bai, M.",https://pureportal.coventry.ac.uk/en/publications/small-punch-creep-testing-of-thermally-sprayed-stellite-6-coating,"
19
"
694,Mingwen Bai,A case study of mechanical properties of perovskite-structured Ba0.5Sr0.5Co0.8Fe0.2O3−δ oxygen transport membrane,"Bai, M.",https://pureportal.coventry.ac.uk/en/publications/a-case-study-of-mechanical-properties-of-perovskite-structured-ba,"
1
"
695,Mingwen Bai,Effect of Particle and Carbide Grain Sizes on a HVOAF WC-Co-Cr Coating for the Future Application on Internal Surfaces: Microstructure and Wear,"Bai, M.",https://pureportal.coventry.ac.uk/en/publications/effect-of-particle-and-carbide-grain-sizes-on-a-hvoaf-wc-co-cr-co,"
71
"
